"트렌드","검색량","시작일","종료","트렌드 분석","탐색 링크"
"심우준","1만+","2024년 11월 7일 오전 9시 20분 0초 UTC+9",,"심우준,하주석","https://trends.google.co.kr/trends/explore?q=%EC%8B%AC%EC%9A%B0%EC%A4%80&geo=KR&hl=ko"
"윤석열 기자회견","1만+","2024년 11월 7일 오전 7시 20분 0초 UTC+9",,"윤석열 기자회견,윤석열,김건희,윤석열 대국민 담화,대통령 기자회견,대국민담화,대통령 담화,기자회견,윤석열 담화,ytn 실시간,윤석열 임기,경향신문","https://trends.google.co.kr/trends/explore?q=%EC%9C%A4%EC%84%9D%EC%97%B4%20%EA%B8%B0%EC%9E%90%ED%9A%8C%EA%B2%AC&geo=KR&hl=ko"
"엄상백","1천+","2024년 11월 7일 오전 11시 40분 0초 UTC+9",,"엄상백","https://trends.google.co.kr/trends/explore?q=%EC%97%84%EC%83%81%EB%B0%B1&geo=KR&hl=ko"
"9800x3d","2천+","2024년 11월 6일 오후 11시 0분 0초 UTC+9",,"9800x3d","https://trends.google.co.kr/trends/explore?q=9800x3d&geo=KR&hl=ko"
"psg 대 아틀레티코","2만+","2024년 11월 7일 오전 4시 0분 0초 UTC+9","2024년 11월 7일 오후 8시 30분 0초 UTC+9","psg 대 아틀레티코,파리생제르망","https://trends.google.co.kr/trends/explore?q=psg%20%EB%8C%80%20%EC%95%84%ED%8B%80%EB%A0%88%ED%8B%B0%EC%BD%94&geo=KR&hl=ko"
"바이에른 대 벤피카","2만+","2024년 11월 7일 오전 4시 0분 0초 UTC+9","2024년 11월 7일 오후 8시 40분 0초 UTC+9","바이에른 대 벤피카,챔피언스리그,김민재","https://trends.google.co.kr/trends/explore?q=%EB%B0%94%EC%9D%B4%EC%97%90%EB%A5%B8%20%EB%8C%80%20%EB%B2%A4%ED%94%BC%EC%B9%B4&geo=KR&hl=ko"
"아케인","1천+","2024년 11월 7일 오후 7시 40분 0초 UTC+9",,"아케인,아케인 시즌2","https://trends.google.co.kr/trends/explore?q=%EC%95%84%EC%BC%80%EC%9D%B8&geo=KR&hl=ko"
"푸이그","1천+","2024년 11월 7일 오후 12시 30분 0초 UTC+9",,"푸이그","https://trends.google.co.kr/trends/explore?q=%ED%91%B8%EC%9D%B4%EA%B7%B8&geo=KR&hl=ko"
"인테르 대 아스널","1만+","2024년 11월 7일 오전 4시 0분 0초 UTC+9","2024년 11월 7일 오후 8시 40분 0초 UTC+9","인테르 대 아스널","https://trends.google.co.kr/trends/explore?q=%EC%9D%B8%ED%85%8C%EB%A5%B4%20%EB%8C%80%20%EC%95%84%EC%8A%A4%EB%84%90&geo=KR&hl=ko"
"츠르베나 즈베즈다 대 바르셀로나","2만+","2024년 11월 7일 오전 4시 0분 0초 UTC+9","2024년 11월 7일 오후 8시 10분 0초 UTC+9","츠르베나 즈베즈다 대 바르셀로나","https://trends.google.co.kr/trends/explore?q=%EC%B8%A0%EB%A5%B4%EB%B2%A0%EB%82%98%20%EC%A6%88%EB%B2%A0%EC%A6%88%EB%8B%A4%20%EB%8C%80%20%EB%B0%94%EB%A5%B4%EC%85%80%EB%A1%9C%EB%82%98&geo=KR&hl=ko"
"fomc","1천+","2024년 11월 6일 오후 11시 20분 0초 UTC+9",,"fomc","https://trends.google.co.kr/trends/explore?q=fomc&geo=KR&hl=ko"
"칼바람","200+","2024년 11월 7일 오후 4시 0분 0초 UTC+9",,"칼바람","https://trends.google.co.kr/trends/explore?q=%EC%B9%BC%EB%B0%94%EB%9E%8C&geo=KR&hl=ko"
"이동진","1천+","2024년 11월 6일 오후 11시 10분 0초 UTC+9",,"이동진","https://trends.google.co.kr/trends/explore?q=%EC%9D%B4%EB%8F%99%EC%A7%84&geo=KR&hl=ko"
"여에스더","1천+","2024년 11월 6일 오후 11시 10분 0초 UTC+9",,"여에스더","https://trends.google.co.kr/trends/explore?q=%EC%97%AC%EC%97%90%EC%8A%A4%EB%8D%94&geo=KR&hl=ko"
"바람의 나라 클래식","200+","2024년 11월 7일 오후 9시 0분 0초 UTC+9",,"바람의 나라 클래식","https://trends.google.co.kr/trends/explore?q=%EB%B0%94%EB%9E%8C%EC%9D%98%20%EB%82%98%EB%9D%BC%20%ED%81%B4%EB%9E%98%EC%8B%9D&geo=KR&hl=ko"
"김소현","500+","2024년 11월 6일 오후 11시 30분 0초 UTC+9",,"김소현","https://trends.google.co.kr/trends/explore?q=%EA%B9%80%EC%86%8C%ED%98%84&geo=KR&hl=ko"
"호서대","2천+","2024년 11월 7일 오전 7시 50분 0초 UTC+9","2024년 11월 7일 오후 7시 30분 0초 UTC+9","호서대,호서대학교","https://trends.google.co.kr/trends/explore?q=%ED%98%B8%EC%84%9C%EB%8C%80&geo=KR&hl=ko"
"전북 현대 모터스","500+","2024년 11월 7일 오후 8시 0분 0초 UTC+9","2024년 11월 7일 오후 9시 50분 0초 UTC+9","전북 현대 모터스,전북현대","https://trends.google.co.kr/trends/explore?q=%EC%A0%84%EB%B6%81%20%ED%98%84%EB%8C%80%20%EB%AA%A8%ED%84%B0%EC%8A%A4&geo=KR&hl=ko"
"로벤","500+","2024년 11월 7일 오후 7시 20분 0초 UTC+9","2024년 11월 7일 오후 9시 20분 0초 UTC+9","로벤","https://trends.google.co.kr/trends/explore?q=%EB%A1%9C%EB%B2%A4&geo=KR&hl=ko"
"대가대","200+","2024년 11월 7일 오후 8시 0분 0초 UTC+9","2024년 11월 7일 오후 9시 30분 0초 UTC+9","대가대","https://trends.google.co.kr/trends/explore?q=%EB%8C%80%EA%B0%80%EB%8C%80&geo=KR&hl=ko"
"법원","1천+","2024년 11월 7일 오후 3시 40분 0초 UTC+9","2024년 11월 7일 오후 6시 50분 0초 UTC+9","법원","https://trends.google.co.kr/trends/explore?q=%EB%B2%95%EC%9B%90&geo=KR&hl=ko"
"백석예술대학교","1천+","2024년 11월 7일 오전 8시 30분 0초 UTC+9","2024년 11월 7일 오후 5시 50분 0초 UTC+9","백석예술대학교,백석예대","https://trends.google.co.kr/trends/explore?q=%EB%B0%B1%EC%84%9D%EC%98%88%EC%88%A0%EB%8C%80%ED%95%99%EA%B5%90&geo=KR&hl=ko"
"자빱tv","500+","2024년 11월 7일 오후 3시 40분 0초 UTC+9","2024년 11월 7일 오후 7시 50분 0초 UTC+9","자빱tv","https://trends.google.co.kr/trends/explore?q=%EC%9E%90%EB%B9%B1tv&geo=KR&hl=ko"
"수능일","500+","2024년 11월 7일 오전 8시 30분 0초 UTC+9","2024년 11월 7일 오후 10시 10분 0초 UTC+9","수능일","https://trends.google.co.kr/trends/explore?q=%EC%88%98%EB%8A%A5%EC%9D%BC&geo=KR&hl=ko"
"다니엘기도회 2024","200+","2024년 11월 7일 오후 7시 50분 0초 UTC+9","2024년 11월 7일 오후 9시 20분 0초 UTC+9","다니엘기도회 2024","https://trends.google.co.kr/trends/explore?q=%EB%8B%A4%EB%8B%88%EC%97%98%EA%B8%B0%EB%8F%84%ED%9A%8C%202024&geo=KR&hl=ko"
"대법원","500+","2024년 11월 7일 오후 3시 50분 0초 UTC+9","2024년 11월 7일 오후 7시 0분 0초 UTC+9","대법원","https://trends.google.co.kr/trends/explore?q=%EB%8C%80%EB%B2%95%EC%9B%90&geo=KR&hl=ko"
"블랙번 대 스토크 시티","1천+","2024년 11월 7일 오전 4시 50분 0초 UTC+9","2024년 11월 7일 오후 1시 10분 0초 UTC+9","블랙번 대 스토크 시티","https://trends.google.co.kr/trends/explore?q=%EB%B8%94%EB%9E%99%EB%B2%88%20%EB%8C%80%20%EC%8A%A4%ED%86%A0%ED%81%AC%20%EC%8B%9C%ED%8B%B0&geo=KR&hl=ko"
"갈라타사라이","100+","2024년 11월 7일 오후 8시 50분 0초 UTC+9","2024년 11월 7일 오후 10시 10분 0초 UTC+9","갈라타사라이","https://trends.google.co.kr/trends/explore?q=%EA%B0%88%EB%9D%BC%ED%83%80%EC%82%AC%EB%9D%BC%EC%9D%B4&geo=KR&hl=ko"
"다니엘기도회","500+","2024년 11월 7일 오후 7시 30분 0초 UTC+9","2024년 11월 7일 오후 8시 50분 0초 UTC+9","다니엘기도회,전우원","https://trends.google.co.kr/trends/explore?q=%EB%8B%A4%EB%8B%88%EC%97%98%EA%B8%B0%EB%8F%84%ED%9A%8C&geo=KR&hl=ko"
"손흥민 재계약","500+","2024년 11월 7일 오후 12시 10분 0초 UTC+9","2024년 11월 7일 오후 8시 50분 0초 UTC+9","손흥민 재계약,손흥민 방출","https://trends.google.co.kr/trends/explore?q=%EC%86%90%ED%9D%A5%EB%AF%BC%20%EC%9E%AC%EA%B3%84%EC%95%BD&geo=KR&hl=ko"
"추신수","100+","2024년 11월 7일 오후 8시 40분 0초 UTC+9","2024년 11월 7일 오후 9시 50분 0초 UTC+9","추신수","https://trends.google.co.kr/trends/explore?q=%EC%B6%94%EC%8B%A0%EC%88%98&geo=KR&hl=ko"
"경남대","500+","2024년 11월 7일 오후 3시 50분 0초 UTC+9","2024년 11월 7일 오후 6시 40분 0초 UTC+9","경남대","https://trends.google.co.kr/trends/explore?q=%EA%B2%BD%EB%82%A8%EB%8C%80&geo=KR&hl=ko"
"토익","1천+","2024년 11월 7일 오전 11시 50분 0초 UTC+9","2024년 11월 7일 오후 2시 10분 0초 UTC+9","토익","https://trends.google.co.kr/trends/explore?q=%ED%86%A0%EC%9D%B5&geo=KR&hl=ko"
"건양대","500+","2024년 11월 7일 오후 3시 30분 0초 UTC+9","2024년 11월 7일 오후 5시 50분 0초 UTC+9","건양대","https://trends.google.co.kr/trends/explore?q=%EA%B1%B4%EC%96%91%EB%8C%80&geo=KR&hl=ko"
"더현대","200+","2024년 11월 7일 오후 5시 30분 0초 UTC+9","2024년 11월 7일 오후 7시 10분 0초 UTC+9","더현대,더현대 크리스마스","https://trends.google.co.kr/trends/explore?q=%EB%8D%94%ED%98%84%EB%8C%80&geo=KR&hl=ko"
"챔스","1천+","2024년 11월 7일 오전 6시 50분 0초 UTC+9","2024년 11월 7일 오전 9시 0분 0초 UTC+9","챔스","https://trends.google.co.kr/trends/explore?q=%EC%B1%94%EC%8A%A4&geo=KR&hl=ko"
"psg","500+","2024년 11월 7일 오전 4시 30분 0초 UTC+9","2024년 11월 7일 오전 8시 30분 0초 UTC+9","psg","https://trends.google.co.kr/trends/explore?q=psg&geo=KR&hl=ko"
"england vs west indies","500+","2024년 11월 7일 오전 6시 40분 0초 UTC+9","2024년 11월 7일 오후 8시 40분 0초 UTC+9","england vs west indies","https://trends.google.co.kr/trends/explore?q=england%20vs%20west%20indies&geo=KR&hl=ko"
"한림대","200+","2024년 11월 7일 오후 4시 0분 0초 UTC+9","2024년 11월 7일 오후 5시 40분 0초 UTC+9","한림대","https://trends.google.co.kr/trends/explore?q=%ED%95%9C%EB%A6%BC%EB%8C%80&geo=KR&hl=ko"
"crvena zvezda vs barcelona","500+","2024년 11월 7일 오전 6시 20분 0초 UTC+9","2024년 11월 7일 오전 9시 20분 0초 UTC+9","crvena zvezda vs barcelona,red star vs barcelona","https://trends.google.co.kr/trends/explore?q=crvena%20zvezda%20vs%20barcelona&geo=KR&hl=ko"
"네이버 시계","200+","2024년 11월 7일 오후 5시 50분 0초 UTC+9","2024년 11월 7일 오후 7시 0분 0초 UTC+9","네이버 시계","https://trends.google.co.kr/trends/explore?q=%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%8B%9C%EA%B3%84&geo=KR&hl=ko"
"인테르","1천+","2024년 11월 7일 오전 5시 40분 0초 UTC+9","2024년 11월 7일 오전 9시 10분 0초 UTC+9","인테르,아스날,챔피언스리그 경기","https://trends.google.co.kr/trends/explore?q=%EC%9D%B8%ED%85%8C%EB%A5%B4&geo=KR&hl=ko"
"챔피언스리그 순위","500+","2024년 11월 7일 오전 6시 40분 0초 UTC+9","2024년 11월 7일 오전 9시 40분 0초 UTC+9","챔피언스리그 순위","https://trends.google.co.kr/trends/explore?q=%EC%B1%94%ED%94%BC%EC%96%B8%EC%8A%A4%EB%A6%AC%EA%B7%B8%20%EC%88%9C%EC%9C%84&geo=KR&hl=ko"
"champions league","500+","2024년 11월 7일 오전 5시 40분 0초 UTC+9","2024년 11월 7일 오전 9시 0분 0초 UTC+9","champions league","https://trends.google.co.kr/trends/explore?q=champions%20league&geo=KR&hl=ko"
"사이버트럭","200+","2024년 11월 7일 오후 2시 20분 0초 UTC+9","2024년 11월 7일 오후 4시 0분 0초 UTC+9","사이버트럭","https://trends.google.co.kr/trends/explore?q=%EC%82%AC%EC%9D%B4%EB%B2%84%ED%8A%B8%EB%9F%AD&geo=KR&hl=ko"
"inter vs arsenal","200+","2024년 11월 7일 오전 6시 40분 0초 UTC+9","2024년 11월 7일 오전 9시 20분 0초 UTC+9","inter vs arsenal","https://trends.google.co.kr/trends/explore?q=inter%20vs%20arsenal&geo=KR&hl=ko"
"수능","1천+","2024년 11월 7일 오전 7시 10분 0초 UTC+9","2024년 11월 7일 오전 9시 40분 0초 UTC+9","수능","https://trends.google.co.kr/trends/explore?q=%EC%88%98%EB%8A%A5&geo=KR&hl=ko"
"장재인","100+","2024년 11월 7일 오후 3시 20분 0초 UTC+9","2024년 11월 7일 오후 5시 10분 0초 UTC+9","장재인","https://trends.google.co.kr/trends/explore?q=%EC%9E%A5%EC%9E%AC%EC%9D%B8&geo=KR&hl=ko"
"한화오션","200+","2024년 11월 7일 오전 11시 40분 0초 UTC+9","2024년 11월 7일 오후 2시 50분 0초 UTC+9","한화오션","https://trends.google.co.kr/trends/explore?q=%ED%95%9C%ED%99%94%EC%98%A4%EC%85%98&geo=KR&hl=ko"
"uefa champions league","200+","2024년 11월 7일 오전 6시 10분 0초 UTC+9","2024년 11월 7일 오전 8시 30분 0초 UTC+9","uefa champions league","https://trends.google.co.kr/trends/explore?q=uefa%20champions%20league&geo=KR&hl=ko"
"광교 사슴","200+","2024년 11월 7일 오전 10시 40분 0초 UTC+9","2024년 11월 7일 오후 1시 20분 0초 UTC+9","광교 사슴","https://trends.google.co.kr/trends/explore?q=%EA%B4%91%EA%B5%90%20%EC%82%AC%EC%8A%B4&geo=KR&hl=ko"
"벤","200+","2024년 11월 6일 오후 10시 40분 0초 UTC+9","2024년 11월 7일 오전 9시 0분 0초 UTC+9","벤","https://trends.google.co.kr/trends/explore?q=%EB%B2%A4&geo=KR&hl=ko"
"오승환","200+","2024년 11월 6일 오후 11시 40분 0초 UTC+9","2024년 11월 7일 오전 9시 30분 0초 UTC+9","오승환","https://trends.google.co.kr/trends/explore?q=%EC%98%A4%EC%8A%B9%ED%99%98&geo=KR&hl=ko"
"삼정kpmg","200+","2024년 11월 7일 오전 9시 20분 0초 UTC+9","2024년 11월 7일 오전 11시 30분 0초 UTC+9","삼정kpmg","https://trends.google.co.kr/trends/explore?q=%EC%82%BC%EC%A0%95kpmg&geo=KR&hl=ko"
"민주노총","200+","2024년 11월 7일 오전 7시 30분 0초 UTC+9","2024년 11월 7일 오후 1시 50분 0초 UTC+9","민주노총","https://trends.google.co.kr/trends/explore?q=%EB%AF%BC%EC%A3%BC%EB%85%B8%EC%B4%9D&geo=KR&hl=ko"
"박창근","200+","2024년 11월 7일 오전 9시 0분 0초 UTC+9","2024년 11월 7일 오전 10시 10분 0초 UTC+9","박창근","https://trends.google.co.kr/trends/explore?q=%EB%B0%95%EC%B0%BD%EA%B7%BC&geo=KR&hl=ko"
"마비노기","500+","2024년 11월 7일 오후 12시 20분 0초 UTC+9","2024년 11월 7일 오후 1시 0분 0초 UTC+9","마비노기","https://trends.google.co.kr/trends/explore?q=%EB%A7%88%EB%B9%84%EB%85%B8%EA%B8%B0&geo=KR&hl=ko"
"sao đỏ belgrade đấu với barcelona","200+","2024년 11월 7일 오전 7시 0분 0초 UTC+9","2024년 11월 7일 오전 9시 0분 0초 UTC+9","sao đỏ belgrade đấu với barcelona","https://trends.google.co.kr/trends/explore?q=sao%20%C4%91%E1%BB%8F%20belgrade%20%C4%91%E1%BA%A5u%20v%E1%BB%9Bi%20barcelona&geo=KR&hl=ko"
"bayern vs benfica","200+","2024년 11월 7일 오전 7시 30분 0초 UTC+9","2024년 11월 7일 오전 9시 10분 0초 UTC+9","bayern vs benfica","https://trends.google.co.kr/trends/explore?q=bayern%20vs%20benfica&geo=KR&hl=ko"
"이강인","100+","2024년 11월 7일 오전 5시 10분 0초 UTC+9","2024년 11월 7일 오전 8시 20분 0초 UTC+9","이강인","https://trends.google.co.kr/trends/explore?q=%EC%9D%B4%EA%B0%95%EC%9D%B8&geo=KR&hl=ko"
"테일러 스위프트","200+","2024년 11월 6일 오후 10시 40분 0초 UTC+9","2024년 11월 7일 오전 9시 0분 0초 UTC+9","테일러 스위프트","https://trends.google.co.kr/trends/explore?q=%ED%85%8C%EC%9D%BC%EB%9F%AC%20%EC%8A%A4%EC%9C%84%ED%94%84%ED%8A%B8&geo=KR&hl=ko"
"페예노르트","100+","2024년 11월 7일 오전 5시 20분 0초 UTC+9","2024년 11월 7일 오전 8시 10분 0초 UTC+9","페예노르트","https://trends.google.co.kr/trends/explore?q=%ED%8E%98%EC%98%88%EB%85%B8%EB%A5%B4%ED%8A%B8&geo=KR&hl=ko"
"토모큐브","100+","2024년 11월 7일 오전 10시 30분 0초 UTC+9","2024년 11월 7일 오후 1시 50분 0초 UTC+9","토모큐브","https://trends.google.co.kr/trends/explore?q=%ED%86%A0%EB%AA%A8%ED%81%90%EB%B8%8C&geo=KR&hl=ko"
"히든페이스","100+","2024년 11월 7일 오후 12시 0분 0초 UTC+9","2024년 11월 7일 오후 1시 10분 0초 UTC+9","히든페이스","https://trends.google.co.kr/trends/explore?q=%ED%9E%88%EB%93%A0%ED%8E%98%EC%9D%B4%EC%8A%A4&geo=KR&hl=ko"
"psg vs atlético madrid","200+","2024년 11월 7일 오전 7시 10분 0초 UTC+9","2024년 11월 7일 오전 8시 40분 0초 UTC+9","psg vs atlético madrid","https://trends.google.co.kr/trends/explore?q=psg%20vs%20atl%C3%A9tico%20madrid&geo=KR&hl=ko"
"อินเตอร์ พบ อาร์เซนอล","100+","2024년 11월 7일 오전 7시 10분 0초 UTC+9","2024년 11월 7일 오전 8시 50분 0초 UTC+9","อินเตอร์ พบ อาร์เซนอล","https://trends.google.co.kr/trends/explore?q=%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%20%E0%B8%9E%E0%B8%9A%20%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%8B%E0%B8%99%E0%B8%AD%E0%B8%A5&geo=KR&hl=ko"
"트럼프 취임일","100+","2024년 11월 7일 오후 5시 0분 0초 UTC+9","2024년 11월 7일 오후 5시 40분 0초 UTC+9","트럼프 취임일,미국대통령당선자","https://trends.google.co.kr/trends/explore?q=%ED%8A%B8%EB%9F%BC%ED%94%84%20%EC%B7%A8%EC%9E%84%EC%9D%BC&geo=KR&hl=ko"
"케이뱅크","100+","2024년 11월 7일 오전 10시 10분 0초 UTC+9","2024년 11월 7일 오전 11시 20분 0초 UTC+9","케이뱅크","https://trends.google.co.kr/trends/explore?q=%EC%BC%80%EC%9D%B4%EB%B1%85%ED%81%AC&geo=KR&hl=ko"
"온도","100+","2024년 11월 7일 오전 7시 40분 0초 UTC+9","2024년 11월 7일 오전 9시 20분 0초 UTC+9","온도","https://trends.google.co.kr/trends/explore?q=%EC%98%A8%EB%8F%84&geo=KR&hl=ko"
"club brugge vs aston villa","100+","2024년 11월 7일 오전 7시 0분 0초 UTC+9","2024년 11월 7일 오전 9시 10분 0초 UTC+9","club brugge vs aston villa","https://trends.google.co.kr/trends/explore?q=club%20brugge%20vs%20aston%20villa&geo=KR&hl=ko"
"s&p 500","200+","2024년 11월 6일 오후 11시 40분 0초 UTC+9","2024년 11월 7일 오전 9시 10분 0초 UTC+9","s&p 500","https://trends.google.co.kr/trends/explore?q=s%26p%20500&geo=KR&hl=ko"
"쿠팡 주가","100+","2024년 11월 7일 오전 9시 0분 0초 UTC+9","2024년 11월 7일 오전 10시 20분 0초 UTC+9","쿠팡 주가","https://trends.google.co.kr/trends/explore?q=%EC%BF%A0%ED%8C%A1%20%EC%A3%BC%EA%B0%80&geo=KR&hl=ko"
"아스톤빌라","100+","2024년 11월 7일 오전 4시 0분 0초 UTC+9","2024년 11월 7일 오전 6시 50분 0초 UTC+9","아스톤빌라","https://trends.google.co.kr/trends/explore?q=%EC%95%84%EC%8A%A4%ED%86%A4%EB%B9%8C%EB%9D%BC&geo=KR&hl=ko"
"weather today","100+","2024년 11월 7일 오전 6시 30분 0초 UTC+9","2024년 11월 7일 오전 8시 20분 0초 UTC+9","weather today","https://trends.google.co.kr/trends/explore?q=weather%20today&geo=KR&hl=ko"
"이순신","200+","2024년 11월 7일 오전 9시 30분 0초 UTC+9","2024년 11월 7일 오전 10시 20분 0초 UTC+9","이순신","https://trends.google.co.kr/trends/explore?q=%EC%9D%B4%EC%88%9C%EC%8B%A0&geo=KR&hl=ko"
"환경부","100+","2024년 11월 7일 오전 9시 10분 0초 UTC+9","2024년 11월 7일 오전 10시 10분 0초 UTC+9","환경부","https://trends.google.co.kr/trends/explore?q=%ED%99%98%EA%B2%BD%EB%B6%80&geo=KR&hl=ko"
"방은희","200+","2024년 11월 6일 오후 10시 20분 0초 UTC+9","2024년 11월 6일 오후 11시 10분 0초 UTC+9","방은희","https://trends.google.co.kr/trends/explore?q=%EB%B0%A9%EC%9D%80%ED%9D%AC&geo=KR&hl=ko"
"시","100+","2024년 11월 7일 오후 12시 0분 0초 UTC+9","2024년 11월 7일 오후 12시 20분 0초 UTC+9","시","https://trends.google.co.kr/trends/explore?q=%EC%8B%9C&geo=KR&hl=ko"
"이하늬","100+","2024년 11월 6일 오후 11시 30분 0초 UTC+9","2024년 11월 7일 오전 12시 20분 0초 UTC+9","이하늬","https://trends.google.co.kr/trends/explore?q=%EC%9D%B4%ED%95%98%EB%8A%AC&geo=KR&hl=ko"
"tqqq","100+","2024년 11월 7일 오전 5시 0분 0초 UTC+9","2024년 11월 7일 오전 9시 0분 0초 UTC+9","tqqq","https://trends.google.co.kr/trends/explore?q=tqqq&geo=KR&hl=ko"
"챗","200+","2024년 11월 7일 오전 10시 20분 0초 UTC+9","2024년 11월 7일 오전 10시 40분 0초 UTC+9","챗","https://trends.google.co.kr/trends/explore?q=%EC%B1%97&geo=KR&hl=ko"
"임기홍","100+","2024년 11월 6일 오후 10시 50분 0초 UTC+9","2024년 11월 6일 오후 11시 20분 0초 UTC+9","임기홍","https://trends.google.co.kr/trends/explore?q=%EC%9E%84%EA%B8%B0%ED%99%8D&geo=KR&hl=ko"
"유튜브뮤직","100+","2024년 11월 7일 오전 9시 0분 0초 UTC+9","2024년 11월 7일 오전 9시 20분 0초 UTC+9","유튜브뮤직","https://trends.google.co.kr/trends/explore?q=%EC%9C%A0%ED%8A%9C%EB%B8%8C%EB%AE%A4%EC%A7%81&geo=KR&hl=ko"
"칼리버스","100+","2024년 11월 6일 오후 11시 20분 0초 UTC+9","2024년 11월 6일 오후 11시 50분 0초 UTC+9","칼리버스","https://trends.google.co.kr/trends/explore?q=%EC%B9%BC%EB%A6%AC%EB%B2%84%EC%8A%A4&geo=KR&hl=ko"